TransactionID,CustomerID,IsAnomaly,AnomalyLabel
1,8270,1,Normal
2,1860,1,Normal
3,6390,1,Normal
4,6191,1,Normal
5,6734,1,Normal
6,7265,1,Normal
7,1466,1,Normal
8,5426,1,Normal
9,6578,1,Normal
10,9322,1,Normal
11,2685,1,Normal
12,1769,1,Normal
13,7949,1,Normal
14,3433,-1,Potential Fraud
15,6311,1,Normal
16,6051,1,Normal
17,7420,1,Normal
18,2184,1,Normal
19,5555,1,Normal
20,4385,1,Normal
21,7396,1,Normal
22,9666,1,Normal
23,3558,1,Normal
24,8849,1,Normal
25,3047,1,Normal
26,3747,1,Normal
27,1189,1,Normal
28,3734,1,Normal
29,4005,1,Normal
30,5658,1,Normal
31,2899,1,Normal
32,8734,1,Normal
33,2267,1,Normal
34,2528,1,Normal
35,4556,1,Normal
36,4890,1,Normal
37,9838,1,Normal
38,6393,1,Normal
39,9792,1,Normal
40,9433,1,Normal
41,8513,1,Normal
42,3612,1,Normal
43,8041,1,Normal
44,7235,1,Normal
45,6486,1,Normal
46,8099,1,Normal
47,1775,1,Normal
48,9226,1,Normal
49,4152,1,Normal
50,2585,1,Normal
51,4943,1,Normal
52,8555,1,Normal
53,4073,1,Normal
54,2021,1,Normal
55,4843,1,Normal
56,8989,1,Normal
57,7873,1,Normal
58,6675,1,Normal
59,1161,1,Normal
60,5297,1,Normal
61,1995,1,Normal
62,8629,-1,Potential Fraud
63,2016,1,Normal
64,8869,1,Normal
65,7439,1,Normal
66,8892,1,Normal
67,7863,1,Normal
68,8916,1,Normal
69,9529,1,Normal
70,1878,1,Normal
71,5887,1,Normal
72,5859,1,Normal
73,7331,1,Normal
74,9571,1,Normal
75,9684,1,Normal
76,8208,1,Normal
77,6276,1,Normal
78,3062,1,Normal
79,1064,1,Normal
80,9006,1,Normal
81,3568,1,Normal
82,6463,1,Normal
83,3027,1,Normal
84,3695,1,Normal
85,6258,1,Normal
86,6618,1,Normal
87,7736,1,Normal
88,1391,1,Normal
89,6892,1,Normal
90,4561,1,Normal
91,7184,1,Normal
92,4099,1,Normal
93,7278,1,Normal
94,9392,1,Normal
95,4104,1,Normal
96,8215,1,Normal
97,3454,1,Normal
98,9996,1,Normal
99,3731,1,Normal
100,9154,1,Normal
101,6056,1,Normal
102,9110,-1,Potential Fraud
103,4840,1,Normal
104,2028,1,Normal
105,8385,1,Normal
106,1502,1,Normal
107,7910,1,Normal
108,7938,1,Normal
109,5488,1,Normal
110,1206,1,Normal
111,6134,-1,Potential Fraud
112,6977,1,Normal
113,8721,1,Normal
114,8035,1,Normal
115,2484,1,Normal
116,8858,1,Normal
117,1863,1,Normal
118,3790,1,Normal
119,8408,1,Normal
120,9755,1,Normal
121,6116,1,Normal
122,7019,1,Normal
123,2757,1,Normal
124,8574,1,Normal
125,7374,1,Normal
126,7892,1,Normal
127,2678,1,Normal
128,4242,1,Normal
129,5636,1,Normal
130,2059,1,Normal
131,7668,1,Normal
132,4157,1,Normal
133,6915,1,Normal
134,3693,1,Normal
135,4627,1,Normal
136,6450,1,Normal
137,2663,1,Normal
138,6592,1,Normal
139,8392,1,Normal
140,2306,1,Normal
141,7776,1,Normal
142,6864,1,Normal
143,8526,1,Normal
144,9901,1,Normal
145,6575,1,Normal
146,6530,1,Normal
147,5413,1,Normal
148,4748,1,Normal
149,1663,1,Normal
150,2998,1,Normal
151,8994,1,Normal
152,2495,1,Normal
153,4304,-1,Potential Fraud
154,4763,1,Normal
155,6232,1,Normal
156,2853,1,Normal
157,7585,1,Normal
158,2291,1,Normal
159,4581,-1,Potential Fraud
160,8554,1,Normal
161,8280,1,Normal
162,2636,1,Normal
163,4696,1,Normal
164,1698,1,Normal
165,5737,1,Normal
166,1854,1,Normal
167,9164,1,Normal
168,6855,1,Normal
169,8392,1,Normal
170,7528,1,Normal
171,6249,1,Normal
172,6172,1,Normal
173,2707,1,Normal
174,6791,1,Normal
175,6535,1,Normal
176,5931,1,Normal
177,4510,1,Normal
178,1202,1,Normal
179,5218,1,Normal
180,9958,1,Normal
181,5389,1,Normal
182,3327,1,Normal
183,9004,1,Normal
184,3931,1,Normal
185,8777,1,Normal
186,1197,1,Normal
187,8125,1,Normal
188,2930,1,Normal
189,7287,1,Normal
190,9800,1,Normal
191,5282,1,Normal
192,3511,1,Normal
193,1659,-1,Potential Fraud
194,3811,1,Normal
195,8098,1,Normal
196,7546,1,Normal
197,2986,1,Normal
198,9338,1,Normal
199,3911,1,Normal
200,2734,1,Normal
201,2843,1,Normal
202,9680,1,Normal
203,3976,1,Normal
204,2959,1,Normal
205,6759,1,Normal
206,7694,1,Normal
207,3385,1,Normal
208,5736,1,Normal
209,2802,1,Normal
210,9155,1,Normal
211,9120,1,Normal
212,7616,1,Normal
213,6534,1,Normal
214,5061,1,Normal
215,1262,1,Normal
216,7287,1,Normal
217,9815,1,Normal
218,3049,1,Normal
219,6423,1,Normal
220,5548,1,Normal
221,4108,-1,Potential Fraud
222,8158,1,Normal
223,8400,1,Normal
224,4170,1,Normal
225,3255,1,Normal
226,2154,1,Normal
227,5499,1,Normal
228,7295,-1,Potential Fraud
229,7197,1,Normal
230,2648,1,Normal
231,6539,1,Normal
232,5199,1,Normal
233,9445,1,Normal
234,3557,1,Normal
235,6592,1,Normal
236,1098,1,Normal
237,3200,1,Normal
238,3961,-1,Potential Fraud
239,5973,1,Normal
240,5433,1,Normal
241,3869,1,Normal
242,1956,1,Normal
243,9352,1,Normal
244,6699,1,Normal
245,7944,1,Normal
246,5493,1,Normal
247,5911,1,Normal
248,4987,1,Normal
249,7015,1,Normal
250,2218,1,Normal
251,5496,1,Normal
252,5735,1,Normal
253,5555,1,Normal
254,9050,1,Normal
255,4446,1,Normal
